sid,arrsize,bsize,nthreads,total,draw,scatter,sort,gather
0,33554432,409,1,9261336.614258,255650.739258,2627361.972656,6022900.551758,355416.214844
1,33554432,409,1,9228960.471680,219384.886719,2631760.743164,6022741.861328,355068.836914
2,33554432,409,1,9229000.222656,219402.850586,2627803.145508,6026691.306641,355100.023438
3,33554432,409,1,9221563.164062,219409.879883,2623267.829102,6023671.880859,355210.738281
4,33554432,409,1,9222545.160156,219432.823242,2627515.660156,6020628.734375,354964.832031
5,33554432,409,1,9228498.098633,219518.754883,2631227.428711,6022680.588867,355067.725586
6,33554432,409,1,9228154.711914,219410.005859,2628785.133789,6024318.287109,355637.693359
7,33554432,409,1,9229043.671875,219419.591797,2633497.111328,6021068.466797,355054.477539
8,33554432,409,1,9226255.132812,219369.278320,2628276.452148,6023574.924805,355030.931641
9,33554432,409,1,9224749.583984,219439.773438,2631863.889648,6018320.932617,355121.591797
0,33554432,409,2,4976156.749023,128603.629883,1654073.340820,3015230.678711,178199.490234
1,33554432,409,2,4933503.387695,109901.037109,1633495.638672,3011947.207031,178152.584961
2,33554432,409,2,4932895.196289,109897.152344,1630904.168945,3013578.604492,178508.018555
3,33554432,409,2,4913269.974609,109878.951172,1612113.675781,3012715.517578,178554.647461
4,33554432,409,2,4912257.084961,109932.660156,1610582.204102,3013205.432617,178529.004883
5,33554432,409,2,4913180.046875,109921.574219,1613613.474609,3011418.763672,178219.103516
6,33554432,409,2,4892008.523438,109944.700195,1592290.637695,3011277.823242,178487.677734
7,33554432,409,2,4893984.335938,109927.095703,1589948.584961,3015490.712891,178611.360352
8,33554432,409,2,4871885.008789,109958.712891,1570252.021484,3013221.336914,178445.359375
9,33554432,409,2,4876021.267578,109900.242188,1574785.288086,3013227.033203,178102.541016
0,33554432,409,3,3405879.531250,86080.396484,1191875.578125,2008784.511719,119074.821289
1,33554432,409,3,3378386.358398,73377.211914,1176754.750000,2009212.063477,119032.815430
2,33554432,409,3,3368765.604492,73298.794922,1166369.376953,2009981.929688,119105.129883
3,33554432,409,3,3326122.362305,73313.975586,1124425.373047,2009286.766602,119086.270508
4,33554432,409,3,3321997.227539,73323.944336,1121394.971680,2007992.683594,119274.983398
5,33554432,409,3,3323348.619141,73300.082031,1122060.227539,2009036.725586,118941.372070
6,33554432,409,3,3323751.678711,73296.675781,1121706.628906,2009745.114258,118993.131836
7,33554432,409,3,3321191.762695,73303.730469,1120600.011719,2007989.551758,119288.407227
8,33554432,409,3,3326673.437500,73328.814453,1125305.992188,2009041.021484,118987.750000
9,33554432,409,3,3320366.484375,73311.523438,1120068.131836,2007700.373047,119276.482422
0,33554432,409,4,2619290.564453,64761.898438,958727.874023,1506068.757812,89646.848633
1,33554432,409,4,2580529.771484,55078.083008,930355.541016,1505748.392578,89336.697266
2,33554432,409,4,2576116.624023,55086.509766,925664.356445,1505984.716797,89370.692383
3,33554432,409,4,2546769.970703,55079.131836,895895.187500,1506177.020508,89608.428711
4,33554432,409,4,2548039.190430,55124.253906,896715.824219,1506705.847656,89483.138672
5,33554432,409,4,2541418.596680,55112.606445,888624.343750,1506324.146484,91346.097656
6,33554432,409,4,2539003.004883,55130.544922,887936.989258,1506309.861328,89615.114258
7,33554432,409,4,2546562.538086,55072.512695,895149.146484,1506748.393555,89582.003906
8,33554432,409,4,2544882.428711,55096.611328,893427.990234,1506808.814453,89538.462891
9,33554432,409,4,2537491.015625,55120.869141,886928.926758,1505858.722656,89571.405273
0,33554432,409,5,2128670.889648,51642.015625,798687.889648,1206503.581055,71726.875977
1,33554432,409,5,2089785.136719,44039.946289,769029.245117,1204921.146484,71782.895508
2,33554432,409,5,2079024.456055,44024.043945,757777.742188,1205580.046875,71631.188477
3,33554432,409,5,2076388.327148,43977.330078,754558.997070,1206178.226562,71661.813477
4,33554432,409,5,2080681.138672,43992.932617,759475.978516,1205436.515625,71764.926758
5,33554432,409,5,2062122.756836,44029.010742,741318.807617,1205016.889648,71747.909180
6,33554432,409,5,2064020.947266,44038.372070,743588.761719,1204757.612305,71625.060547
7,33554432,409,5,2060157.438477,44006.984375,738787.000977,1205470.783203,71881.099609
8,33554432,409,5,2050309.998047,44037.512695,728624.779297,1205924.951172,71711.311523
9,33554432,409,5,2049475.836914,43981.509766,728536.959961,1205219.361328,71726.067383
0,33554432,409,6,2104657.860352,43082.733398,989723.458008,1010285.635742,61434.340820
1,33554432,409,6,2145585.949219,38111.786133,1036382.776367,1009750.626953,61327.018555
2,33554432,409,6,2149476.369141,37985.924805,1040158.166992,1009858.168945,61459.017578
3,33554432,409,6,2147525.015625,38121.255859,1037225.311523,1010683.886719,61480.225586
4,33554432,409,6,2129743.444336,38033.159180,1021053.708008,1009524.364258,61119.010742
5,33554432,409,6,2131895.938477,37946.160156,1023980.719727,1008513.416992,61442.590820
6,33554432,409,6,2133432.055664,38070.169922,1023483.728516,1010459.601562,61404.352539
7,33554432,409,6,2139748.953125,37998.587891,1030426.184570,1009889.808594,61419.334961
8,33554432,409,6,2131814.829102,37944.283203,1022642.080078,1009989.341797,61224.386719
9,33554432,409,6,2128534.368164,38096.654297,1018554.989258,1010633.059570,61236.811523
0,33554432,409,7,1854636.035156,36912.719727,901038.185547,864711.419922,51819.787109
1,33554432,409,7,1821296.186523,33157.090820,870121.296875,865969.595703,52033.192383
2,33554432,409,7,1821628.977539,32891.100586,870271.257812,866424.472656,52027.710938
3,33554432,409,7,1816135.682617,32935.097656,865305.610352,865818.466797,52061.409180
4,33554432,409,7,1805352.047852,32909.813477,853837.908203,866663.019531,51925.775391
5,33554432,409,7,1804770.824219,32949.830078,854158.941406,865627.565430,52019.818359
6,33554432,409,7,1805107.688477,32951.405273,854888.226562,865306.246094,51944.103516
7,33554432,409,7,1809667.238281,32821.827148,859601.618164,865251.664062,51976.378906
8,33554432,409,7,1813008.862305,33000.947266,861563.254883,866447.581055,51981.778320
9,33554432,409,7,1803936.021484,33005.258789,854765.562500,864259.738281,51890.316406
0,33554432,409,8,1734904.034180,32469.248047,900111.870117,756618.013672,45522.578125
1,33554432,409,8,1699052.350586,28847.791016,867361.388672,757332.570312,45494.252930
2,33554432,409,8,1697177.829102,28842.858398,865405.585938,757233.815430,45679.242188
3,33554432,409,8,1698870.414062,28932.027344,866391.659180,758029.434570,45500.939453
4,33554432,409,8,1689914.600586,28869.785156,858954.959961,756449.088867,45624.285156
5,33554432,409,8,1690602.227539,28999.950195,858495.566406,757433.229492,45657.100586
6,33554432,409,8,1689721.128906,28867.958984,859085.406250,756143.900391,45608.769531
7,33554432,409,8,1688146.147461,28885.749023,856092.183594,757549.039062,45603.528320
8,33554432,409,8,1688826.400391,29009.625000,857663.288086,756545.765625,45593.195312
9,33554432,409,8,1686984.002930,29007.587891,855859.190430,756607.773438,45493.101562
0,33554432,409,9,1606536.630859,28990.146484,863574.760742,673084.923828,40673.718750
1,33554432,409,9,1564410.075195,25812.977539,824916.548828,673067.058594,40597.136719
2,33554432,409,9,1563194.345703,25793.166016,824158.911133,672675.708008,40548.441406
3,33554432,409,9,1565446.306641,25886.010742,826093.375000,672852.083008,40596.798828
4,33554432,409,9,1562669.151367,25763.233398,823126.549805,673080.426758,40680.852539
5,33554432,409,9,1568254.774414,25860.280273,829382.111328,672426.455078,40566.571289
